scheme,backend,backend_rate_inv,runner,opening,workers,nv,polynomial_length,commit_ms,open_ms,verify_ms,prover_ms,proof_kib,communication_kib,verifier_communication_kib,scheme_reported_communication_kib,communication_basis,communication_cost_kib,communication_cost_basis,communication_bytes,verifier_communication_bytes,scheme_reported_communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,paper_worker_commit_max_ms,paper_worker_commit_sum_ms,paper_worker_open_max_ms,paper_worker_open_sum_ms,paper_master_assemble_ms,paper_worker_verify_max_ms,paper_worker_verify_sum_ms,paper_master_verify_ms,worker_local_compute_ms,end_to_end_open_proof_ms,worker_local_speedup,end_to_end_open_speedup,batch_claim_count,batch_open_ms,batch_verify_ms,batch_proof_bytes,effective_query_count,column_query_count,pcs_query_count,query_security_bits,algebraic_security_bits,query_count_semantics,query_count_target,host_logical_cores,max_workers,cores_per_worker,backend_source,field,hash,code_rate_log,security_target_bits,security_effective_bits,security_exact,source_rev,verified,source
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,21,2097152,3628.6473,3034.3265,799.3252,6662.9738,1021.546875,1029.9296875,1021.546875,,master_worker_sent_recv,1029.9296875,master_worker_sent_recv,1054648.0,1046064.0,,4324.0,1050324.0,1054648.0,3628.1553,6887.2694,3014.7705,6022.7316,14.8807,785.6753,1569.4934,799.315,3628.6473,3034.3265,1.0,1.0,4.0,3034.3265,799.3252,1041780.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391966478; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,22,4194304,10654.0038,5915.2996,1476.2763,16569.3034,1145.359375,1153.9453125,1145.359375,,master_worker_sent_recv,1153.9453125,master_worker_sent_recv,1181640.0,1172848.0,,4420.0,1177220.0,1181640.0,10653.5625,20252.784,5900.1412,11706.3989,13.1765,1462.7401,2916.8861,1476.2656,10654.0038,5915.2996,1.0,1.0,4.0,5915.2996,1476.2763,1168468.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391975258; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,23,8388608,25044.8884,19409.0161,4221.4189,44453.904500000004,1277.28125,1286.0703125,1277.28125,,master_worker_sent_recv,1286.0703125,master_worker_sent_recv,1316936.0,1307936.0,,4516.0,1312420.0,1316936.0,25044.4697,49623.9516,19383.1067,38077.9741,20.4721,4191.3847,8378.8459,4221.4082,25044.8884,19409.0161,1.0,1.0,4.0,19409.0161,4221.4189,1303460.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391994753; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,24,16777216,65206.1922,52504.188,5631.6373,117710.3802,1420.90625,1429.8984375,1420.90625,,master_worker_sent_recv,1429.8984375,master_worker_sent_recv,1464216.0,1455008.0,,4612.0,1459604.0,1464216.0,65203.4306,129923.6978,52484.4326,99480.7193,16.0024,5612.5989,11207.7776,5631.6243,65206.1922,52504.188,1.0,1.0,4.0,52504.188,5631.6373,1450436.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782392046242; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
LigeSIS dLigesis,ligesis,0,local,dligesis,2,18,262144,114.332,335.988,15.049,450.32,218.51,,218.51,28006.4,scheme_native_reported,28006.4,scheme_native_reported,,223754.24,28678553.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,scheme-native-ligesis,0,20,2,10,vendored-ligesis-native,,,0,0,0,unknown,,1,local LigeSIS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; log_m=5; base_mu=14; query_count_semantics=scheme-native-ligesis
LigeSIS dLigesis,ligesis,0,local,dligesis,2,19,524288,157.484,369.602,20.511,527.086,222.26,,222.26,38717.44,scheme_native_reported,38717.44,scheme_native_reported,,227594.24,39646658.56,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,scheme-native-ligesis,0,20,2,10,vendored-ligesis-native,,,0,0,0,unknown,,1,local LigeSIS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; log_m=5; base_mu=14; query_count_semantics=scheme-native-ligesis
LigeSIS dLigesis,ligesis,0,local,dligesis,2,20,1048576,178.517,618.294,29.364,796.8109999999999,241.47,,241.47,55941.12,scheme_native_reported,55941.12,scheme_native_reported,,247265.28,57283706.88,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,scheme-native-ligesis,0,20,2,10,vendored-ligesis-native,,,0,0,0,unknown,,1,local LigeSIS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; log_m=6; base_mu=15; query_count_semantics=scheme-native-ligesis
LigeSIS dLigesis,ligesis,0,local,dligesis,2,21,2097152,345.109,698.397,40.086,1043.506,245.3,,245.3,77373.44,scheme_native_reported,77373.44,scheme_native_reported,,251187.2,79230402.56,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,scheme-native-ligesis,0,20,2,10,vendored-ligesis-native,,,0,0,0,unknown,,1,local LigeSIS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; log_m=6; base_mu=15; query_count_semantics=scheme-native-ligesis
LigeSIS dLigesis,ligesis,0,local,dligesis,2,22,4194304,538.688,1253.86,57.057,1792.5479999999998,265.57,,265.57,111831.04,scheme_native_reported,111831.04,scheme_native_reported,,271943.68,114514984.96,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,scheme-native-ligesis,0,20,2,10,vendored-ligesis-native,,,0,0,0,unknown,,1,local LigeSIS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; log_m=7; base_mu=16; query_count_semantics=scheme-native-ligesis
LigeSIS dLigesis,ligesis,0,local,dligesis,2,23,8388608,1060.921,1511.238,134.484,2572.159,269.48999999999995,,269.48999999999995,154716.16,scheme_native_reported,154716.16,scheme_native_reported,,275957.75999999995,158429347.84,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,scheme-native-ligesis,0,20,2,10,vendored-ligesis-native,,,0,0,0,unknown,,1,local LigeSIS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; log_m=7; base_mu=16; query_count_semantics=scheme-native-ligesis
LigeSIS dLigesis,ligesis,0,local,dligesis,2,24,16777216,1696.786,3951.139,192.619,5647.925,290.82,,290.82,223621.12,scheme_native_reported,223621.12,scheme_native_reported,,297799.68,228988026.88,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,scheme-native-ligesis,0,20,2,10,vendored-ligesis-native,,,0,0,0,unknown,,1,local LigeSIS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; log_m=8; base_mu=17; query_count_semantics=scheme-native-ligesis
dFRIttata-PCS,frittata,0,local,dfrittata,2,18,262144,140.15,3.18,9.171,143.33,979.264,,979.264,4371.8056640625,scheme_native_reported,4371.8056640625,scheme_native_reported,,1002766.336,4476729.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,282.0,,282.0,,,scheme-native-external,282,20,2,10,vendored-frittata-native,,,0,0,0,unknown,,1,local dFRIttata-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=282.0; query_count_semantics=scheme-native-external
dFRIttata-PCS,frittata,0,local,dfrittata,2,19,524288,274.263,4.066,10.129,278.32899999999995,1115.216,,1115.216,8493.150390625,scheme_native_reported,8493.150390625,scheme_native_reported,,1141981.184,8696986.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,282.0,,282.0,,,scheme-native-external,282,20,2,10,vendored-frittata-native,,,0,0,0,unknown,,1,local dFRIttata-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=282.0; query_count_semantics=scheme-native-external
dFRIttata-PCS,frittata,0,local,dfrittata,2,20,1048576,692.611,6.118,13.291,698.729,1264.966,,1264.966,16713.056640625,scheme_native_reported,16713.056640625,scheme_native_reported,,1295325.184,17114170.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,282.0,,282.0,,,scheme-native-external,282,20,2,10,vendored-frittata-native,,,0,0,0,unknown,,1,local dFRIttata-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=282.0; query_count_semantics=scheme-native-external
dFRIttata-PCS,frittata,0,local,dfrittata,2,21,2097152,1123.911,7.384,12.338,1131.295,1419.087,,1419.087,33120.8037109375,scheme_native_reported,33120.8037109375,scheme_native_reported,,1453145.088,33915703.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,282.0,,282.0,,,scheme-native-external,282,20,2,10,vendored-frittata-native,,,0,0,0,unknown,,1,local dFRIttata-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=282.0; query_count_semantics=scheme-native-external
dFRIttata-PCS,frittata,0,local,dfrittata,2,22,4194304,2504.241,28.756,17.57,2532.997,1606.132,,1606.132,65919.900390625,scheme_native_reported,65919.900390625,scheme_native_reported,,1644679.168,67501978.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,282.0,,282.0,,,scheme-native-external,282,20,2,10,vendored-frittata-native,,,0,0,0,unknown,,1,local dFRIttata-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=282.0; query_count_semantics=scheme-native-external
dFRIttata-PCS,frittata,0,local,dfrittata,2,23,8388608,5008.678,38.262,16.3,5046.94,1783.493,,1783.493,131483.337890625,scheme_native_reported,131483.337890625,scheme_native_reported,,1826296.832,134638938.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,282.0,,282.0,,,scheme-native-external,282,20,2,10,vendored-frittata-native,,,0,0,0,unknown,,1,local dFRIttata-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=282.0; query_count_semantics=scheme-native-external
dFRIttata-PCS,frittata,0,local,dfrittata,2,24,16777216,9764.298,55.716,19.56,9820.014000000001,1946.413,,1946.413,262578.306640625,scheme_native_reported,262578.306640625,scheme_native_reported,,1993126.912,268880186.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,282.0,,282.0,,,scheme-native-external,282,20,2,10,vendored-frittata-native,,,0,0,0,unknown,,1,local dFRIttata-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=282.0; query_count_semantics=scheme-native-external
dPIP-FRI-PCS,pip-fri,0,local,depipfri,2,18,262144,52.241,19.949,1.52,72.19,132.77,,132.77,4305.64453125,scheme_native_reported,4305.64453125,scheme_native_reported,,135956.48,4408980.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50.0,,50.0,,,scheme-native-external,50,20,2,10,vendored-dpip-fri-native,,,0,0,0,unknown,,1,local dPIP-FRI-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=50.0; query_count_semantics=scheme-native-external
dPIP-FRI-PCS,pip-fri,0,local,depipfri,2,19,524288,104.911,33.938,2.156,138.849,157.67,,157.67,8533.64453125,scheme_native_reported,8533.64453125,scheme_native_reported,,161454.08,8738452.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50.0,,50.0,,,scheme-native-external,50,20,2,10,vendored-dpip-fri-native,,,0,0,0,unknown,,1,local dPIP-FRI-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=50.0; query_count_semantics=scheme-native-external
dPIP-FRI-PCS,pip-fri,0,local,depipfri,2,20,1048576,343.904,71.82,3.101,415.724,181.2,,181.2,17001.67578125,scheme_native_reported,17001.67578125,scheme_native_reported,,185548.8,17409716.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50.0,,50.0,,,scheme-native-external,50,20,2,10,vendored-dpip-fri-native,,,0,0,0,unknown,,1,local dPIP-FRI-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=50.0; query_count_semantics=scheme-native-external
dPIP-FRI-PCS,pip-fri,0,local,depipfri,2,21,2097152,453.322,126.061,3.451,579.383,208.95,,208.95,33899.61328125,scheme_native_reported,33899.61328125,scheme_native_reported,,213964.8,34713204.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50.0,,50.0,,,scheme-native-external,50,20,2,10,vendored-dpip-fri-native,,,0,0,0,unknown,,1,local dPIP-FRI-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=50.0; query_count_semantics=scheme-native-external
dPIP-FRI-PCS,pip-fri,0,local,depipfri,2,22,4194304,978.505,246.431,2.621,1224.936,243.67,,243.67,67723.73828125,scheme_native_reported,67723.73828125,scheme_native_reported,,249518.08,69349108.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50.0,,50.0,,,scheme-native-external,50,20,2,10,vendored-dpip-fri-native,,,0,0,0,unknown,,1,local dPIP-FRI-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=50.0; query_count_semantics=scheme-native-external
dPIP-FRI-PCS,pip-fri,0,local,depipfri,2,23,8388608,2145.604,597.639,3.651,2743.243,284.8,,284.8,135334.17578125,scheme_native_reported,135334.17578125,scheme_native_reported,,291635.2,138582196.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50.0,,50.0,,,scheme-native-external,50,20,2,10,vendored-dpip-fri-native,,,0,0,0,unknown,,1,local dPIP-FRI-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=50.0; query_count_semantics=scheme-native-external
dPIP-FRI-PCS,pip-fri,0,local,depipfri,2,24,16777216,4219.886,644.435,4.455,4864.321,336.64,,336.64,266429.26953125,scheme_native_reported,266429.26953125,scheme_native_reported,,344719.36,272823572.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50.0,,50.0,,,scheme-native-external,50,20,2,10,vendored-dpip-fri-native,,,0,0,0,unknown,,1,local dPIP-FRI-PCS run; party_RAYON_NUM_THREADS=10; total_party_processes=2; query_count=50.0; query_count_semantics=scheme-native-external
