runner,opening,workers,nv_power,size,samples,verified_count,commit_ms_mean,commit_ms_stddev,open_ms_mean,open_ms_stddev,verify_ms_mean,verify_ms_stddev,opening_proof_bytes_mean,communication_bytes_mean,network_bytes_mean,failure_reasons
network,compact,2,5,32,1,1,1.697000,0.000000,13.456500,0.000000,8.753300,0.000000,11035.000000,11099.000000,5576.000000,
network,compact,2,6,64,1,1,2.485900,0.000000,19.212600,0.000000,10.429100,0.000000,13443.000000,13507.000000,6588.000000,
network,compact,2,7,128,1,1,4.161100,0.000000,26.794600,0.000000,12.729700,0.000000,16049.000000,16113.000000,7839.000000,
network,compact,2,8,256,1,1,7.793500,0.000000,37.389500,0.000000,14.459600,0.000000,18853.000000,18917.000000,9524.000000,
network,compact,2,9,512,1,1,14.966400,0.000000,54.084500,0.000000,16.610500,0.000000,21855.000000,21919.000000,12076.000000,
network,compact,2,10,1024,1,1,28.305200,0.000000,88.705600,0.000000,18.917100,0.000000,25055.000000,25119.000000,16418.000000,
network,compact,2,11,2048,1,1,60.497400,0.000000,140.532900,0.000000,21.732900,0.000000,28453.000000,28517.000000,24273.000000,
network,compact,2,12,4096,1,1,109.798200,0.000000,226.990000,0.000000,24.535700,0.000000,32049.000000,32113.000000,39189.000000,
network,compact,2,13,8192,1,1,217.388200,0.000000,416.307500,0.000000,27.277100,0.000000,35843.000000,35907.000000,68158.000000,
network,compact,2,14,16384,1,1,442.009100,0.000000,847.794800,0.000000,42.101300,0.000000,39835.000000,39899.000000,125426.000000,
network,compact,2,15,32768,1,1,911.792000,0.000000,1507.109500,0.000000,33.028900,0.000000,44025.000000,44089.000000,239050.000000,
network,compact,2,16,65536,1,1,1789.405000,0.000000,3077.971400,0.000000,45.482500,0.000000,48413.000000,48477.000000,465566.000000,
network,compact,4,4,16,1,1,0.793100,0.000000,8.288500,0.000000,7.260700,0.000000,8773.000000,8901.000000,7633.000000,
network,compact,4,5,32,1,1,1.071500,0.000000,10.896000,0.000000,8.854300,0.000000,11181.000000,11309.000000,9347.000000,
network,compact,4,6,64,1,1,1.973100,0.000000,15.477600,0.000000,10.734900,0.000000,13787.000000,13915.000000,11165.000000,
network,compact,4,7,128,1,1,2.576300,0.000000,21.014600,0.000000,13.338300,0.000000,16591.000000,16719.000000,13208.000000,
network,compact,4,8,256,1,1,4.568300,0.000000,29.143800,0.000000,14.952900,0.000000,19593.000000,19721.000000,15691.000000,
network,compact,4,9,512,1,1,7.689200,0.000000,39.571800,0.000000,17.250900,0.000000,22793.000000,22921.000000,19033.000000,
network,compact,4,10,1024,1,1,14.311200,0.000000,58.259000,0.000000,19.756500,0.000000,26191.000000,26319.000000,24183.000000,
network,compact,4,11,2048,1,1,28.065700,0.000000,86.033300,0.000000,22.617000,0.000000,29787.000000,29915.000000,32859.000000,
network,compact,4,12,4096,1,1,56.461700,0.000000,144.576500,0.000000,25.234100,0.000000,33581.000000,33709.000000,48568.000000,
network,compact,4,13,8192,1,1,111.276100,0.000000,243.391500,0.000000,28.132600,0.000000,37573.000000,37701.000000,78342.000000,
network,compact,4,14,16384,1,1,254.703100,0.000000,553.723200,0.000000,38.963800,0.000000,41763.000000,41891.000000,136413.000000,
network,compact,4,15,32768,1,1,444.221500,0.000000,798.682500,0.000000,34.234200,0.000000,46151.000000,46279.000000,250830.000000,
network,compact,4,16,65536,1,1,945.312600,0.000000,1646.828400,0.000000,45.781900,0.000000,50737.000000,50865.000000,478139.000000,
network,compact,8,4,16,1,1,0.928300,0.000000,8.478200,0.000000,7.813500,0.000000,9683.000000,9939.000000,11976.000000,
network,compact,8,5,32,1,1,1.695600,0.000000,11.347100,0.000000,10.005200,0.000000,12685.000000,12941.000000,15292.000000,
network,compact,8,6,64,1,1,1.500400,0.000000,14.718700,0.000000,12.350700,0.000000,15885.000000,16141.000000,18674.000000,
network,compact,8,7,128,1,1,1.919200,0.000000,19.719500,0.000000,14.942400,0.000000,19283.000000,19539.000000,22312.000000,
network,compact,8,8,256,1,1,2.608300,0.000000,29.630700,0.000000,18.839800,0.000000,22879.000000,23135.000000,26399.000000,
network,compact,8,9,512,1,1,4.390500,0.000000,33.708100,0.000000,20.199700,0.000000,26673.000000,26929.000000,31343.000000,
network,compact,8,10,1024,1,1,7.853100,0.000000,45.016400,0.000000,24.363500,0.000000,30665.000000,30921.000000,38123.000000,
network,compact,8,11,2048,1,1,15.086300,0.000000,63.754400,0.000000,25.652000,0.000000,34855.000000,35111.000000,48416.000000,
network,compact,8,12,4096,1,1,28.852600,0.000000,97.109200,0.000000,29.792900,0.000000,39243.000000,39499.000000,65732.000000,
network,compact,8,13,8192,1,1,61.092300,0.000000,154.621100,0.000000,32.868500,0.000000,43829.000000,44085.000000,97058.000000,
network,compact,8,14,16384,1,1,184.035800,0.000000,294.852900,0.000000,39.280400,0.000000,48613.000000,48869.000000,156770.000000,
network,compact,8,15,32768,1,1,228.450700,0.000000,462.377900,0.000000,40.755400,0.000000,53595.000000,53851.000000,272803.000000,
network,compact,8,16,65536,1,1,494.584900,0.000000,849.327900,0.000000,44.259000,0.000000,58775.000000,59031.000000,501708.000000,
network,compact,16,4,16,1,1,1.617600,0.000000,11.058200,0.000000,10.644000,0.000000,11527.000000,12039.000000,17559.000000,
network,compact,16,5,32,1,1,1.712700,0.000000,14.743600,0.000000,13.100500,0.000000,15915.000000,16427.000000,24033.000000,
network,compact,16,6,64,1,1,1.897900,0.000000,17.595400,0.000000,16.042400,0.000000,20501.000000,21013.000000,30646.000000,
network,compact,16,7,128,1,1,1.948400,0.000000,21.548300,0.000000,19.287000,0.000000,25285.000000,25797.000000,37471.000000,
network,compact,16,8,256,1,1,2.923600,0.000000,30.051900,0.000000,22.914000,0.000000,30267.000000,30779.000000,44751.000000,
network,compact,16,9,512,1,1,4.080800,0.000000,35.404800,0.000000,26.460700,0.000000,35447.000000,35959.000000,52880.000000,
network,compact,16,10,1024,1,1,7.482900,0.000000,45.196500,0.000000,30.152100,0.000000,40825.000000,41337.000000,62882.000000,
network,compact,16,11,2048,1,1,9.117500,0.000000,55.772900,0.000000,34.625800,0.000000,46401.000000,46913.000000,76361.000000,
network,compact,16,12,4096,1,1,15.701300,0.000000,75.918700,0.000000,39.074800,0.000000,52175.000000,52687.000000,96867.000000,
network,compact,16,13,8192,1,1,31.172400,0.000000,107.682600,0.000000,43.696200,0.000000,58147.000000,58659.000000,131485.000000,
network,compact,16,14,16384,1,1,84.545700,0.000000,179.900000,0.000000,48.164300,0.000000,64317.000000,64829.000000,194338.000000,
network,compact,16,15,32768,1,1,119.702600,0.000000,270.561600,0.000000,59.196600,0.000000,70685.000000,71197.000000,313542.000000,
network,compact,16,16,65536,1,1,252.952700,0.000000,474.133700,0.000000,58.467300,0.000000,77251.000000,77763.000000,545712.000000,
