runner,opening,trial,workers,nv_power,size,t_rows_per_worker,paper_b_target,shard_len,pcs_queries_requested,pcs_queries_effective,partition_ms,worker_commit_ms,master_commit_ms,commit_ms,open_ms,verify_ms,commitment_bytes,opening_proof_bytes,communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,host_logical_cores,cores_per_worker,core_affinity,verified,failure_reason
network,compact,1,16,6,64,4.000000,32,4,1,1,0.000000,1.897900,0.000000,1.897900,17.595400,16.042400,1072,20501,21013,2955,27691,30646,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,7,128,128.000000,7,128,1,1,0.000000,4.420100,0.000000,4.420100,33.932800,13.380300,112,16879,16911,1040,3719,4759,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,7,128,64.000000,12,64,1,1,0.000000,4.161100,0.000000,4.161100,26.794600,12.729700,176,16049,16113,1197,6642,7839,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,7,128,32.000000,20,32,1,1,0.000000,2.576300,0.000000,2.576300,21.014600,13.338300,304,16591,16719,1511,11697,13208,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,7,128,16.000000,32,16,1,1,0.000000,1.919200,0.000000,1.919200,19.719500,14.942400,560,19283,19539,2134,20178,22312,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,7,128,8.000000,48,8,1,1,0.000000,1.948400,0.000000,1.948400,21.548300,19.287000,1072,25285,25797,3413,34058,37471,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,8,256,256.000000,8,256,1,1,0.000000,7.640500,0.000000,7.640500,48.017700,15.290600,112,19683,19715,1923,4118,6041,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,8,256,128.000000,14,128,1,1,0.000000,7.793500,0.000000,7.793500,37.389500,14.459600,176,18853,18917,2082,7442,9524,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,8,256,64.000000,24,64,1,1,0.000000,4.568300,0.000000,4.568300,29.143800,14.952900,304,19593,19721,2399,13292,15691,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,8,256,32.000000,40,32,1,1,0.000000,2.608300,0.000000,2.608300,29.630700,18.839800,560,22879,23135,3033,23366,26399,20,1,windows-powershell-processor-affinity,true,
