scheme,backend,backend_rate_inv,runner,opening,workers,nv,polynomial_length,commit_ms,open_ms,verify_ms,prover_ms,proof_kib,communication_kib,verifier_communication_kib,scheme_reported_communication_kib,communication_basis,communication_cost_kib,communication_cost_basis,communication_bytes,verifier_communication_bytes,scheme_reported_communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,paper_worker_commit_max_ms,paper_worker_commit_sum_ms,paper_worker_open_max_ms,paper_worker_open_sum_ms,paper_master_assemble_ms,paper_worker_verify_max_ms,paper_worker_verify_sum_ms,paper_master_verify_ms,paper_batch_claim_ms,paper_batch_sumcheck_ms,paper_batch_combined_open_ms,paper_batch_merkle_ms,paper_batch_verify_ms,paper_individual_worker_proof_count,paper_batched_proof_count,worker_local_compute_ms,end_to_end_open_proof_ms,worker_local_speedup,end_to_end_open_speedup,batch_claim_count,batch_open_ms,batch_verify_ms,batch_proof_bytes,effective_query_count,column_query_count,pcs_query_count,query_security_bits,algebraic_security_bits,query_count_semantics,query_count_target,host_logical_cores,max_workers,cores_per_worker,backend_source,field,hash,code_rate_log,security_target_bits,security_effective_bits,security_exact,source_rev,verified,failure_reason,source
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,21,2097152,2812.6501,1418.8748,306.9489,4231.5249,1026.8671875,1020.8515625,1026.8671875,,master_worker_sent_recv,1020.8515625,master_worker_sent_recv,1045352.0,1051512.0,,4324.0,1041028.0,1045352.0,2812.2584,5551.3252,1410.2713,2804.9007,6.6311,299.8326,599.2096,306.9452,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2812.6501,1418.8748,1.0,1.0,16.0,1418.8748,306.9489,1047228.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401380108; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,22,4194304,5331.0454,2804.9842,627.7018,8136.0296,1163.0546875,1156.6796875,1163.0546875,,master_worker_sent_recv,1156.6796875,master_worker_sent_recv,1184440.0,1190968.0,,4420.0,1180020.0,1184440.0,5330.7319,10602.7089,2794.8428,5557.6172,8.1177,619.7775,1238.9786,627.6982,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5331.0454,2804.9842,1.0,1.0,16.0,2804.9842,627.7018,1186588.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401385943; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,23,8388608,11015.1182,7953.856,1210.3688,18968.9742,1297.3671875,1290.6328125,1297.3671875,,master_worker_sent_recv,1290.6328125,master_worker_sent_recv,1321608.0,1328504.0,,4516.0,1317092.0,1321608.0,11014.73,21931.996,7942.7142,15573.8879,9.3511,1201.3472,2395.0256,1210.3647,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11015.1182,7953.856,1.0,1.0,16.0,7953.856,1210.3688,1324028.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401396062; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,24,16777216,34470.952,39170.7866,2595.2156,73641.7386,1438.9609375,1431.8671875,1438.9609375,,master_worker_sent_recv,1431.8671875,master_worker_sent_recv,1466232.0,1473496.0,,4612.0,1461620.0,1466232.0,34469.6506,68754.8167,39156.4572,75068.0031,9.8456,2583.852,5166.5328,2595.2067,0.0,0.0,0.0,0.0,0.0,2.0,2.0,34470.952,39170.7866,1.0,1.0,16.0,39170.7866,2595.2156,1468924.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401417943; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11-batch,deepfold,2,paper-network-protocol11-batch,protocol11-batch,2,18,262144,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,0,false,deepfold-bench-v0.1,blocked,"batch_unavailable_deepfold_artifact_native_batch_api_missing: LigeSIS batch/multi-open requires ark_ff::PrimeField + HasQuadraticExtension, while paper dePCS uses DeepFold artifact Mersenne61Ext/RandomOracle/Merkle; refusing to swap backend or use digest-only Protocol10/11 placeholders",blocked fair-sequential row
depcs-deepfold-paper-protocol11-batch,deepfold,2,paper-network-protocol11-batch,protocol11-batch,2,19,524288,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,0,false,deepfold-bench-v0.1,blocked,"batch_unavailable_deepfold_artifact_native_batch_api_missing: LigeSIS batch/multi-open requires ark_ff::PrimeField + HasQuadraticExtension, while paper dePCS uses DeepFold artifact Mersenne61Ext/RandomOracle/Merkle; refusing to swap backend or use digest-only Protocol10/11 placeholders",blocked fair-sequential row
depcs-deepfold-paper-protocol11-batch,deepfold,2,paper-network-protocol11-batch,protocol11-batch,2,20,1048576,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,0,false,deepfold-bench-v0.1,blocked,"batch_unavailable_deepfold_artifact_native_batch_api_missing: LigeSIS batch/multi-open requires ark_ff::PrimeField + HasQuadraticExtension, while paper dePCS uses DeepFold artifact Mersenne61Ext/RandomOracle/Merkle; refusing to swap backend or use digest-only Protocol10/11 placeholders",blocked fair-sequential row
depcs-deepfold-paper-protocol11-batch,deepfold,2,paper-network-protocol11-batch,protocol11-batch,2,21,2097152,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,0,false,deepfold-bench-v0.1,blocked,"batch_unavailable_deepfold_artifact_native_batch_api_missing: LigeSIS batch/multi-open requires ark_ff::PrimeField + HasQuadraticExtension, while paper dePCS uses DeepFold artifact Mersenne61Ext/RandomOracle/Merkle; refusing to swap backend or use digest-only Protocol10/11 placeholders",blocked fair-sequential row
depcs-deepfold-paper-protocol11-batch,deepfold,2,paper-network-protocol11-batch,protocol11-batch,2,22,4194304,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,0,false,deepfold-bench-v0.1,blocked,"batch_unavailable_deepfold_artifact_native_batch_api_missing: LigeSIS batch/multi-open requires ark_ff::PrimeField + HasQuadraticExtension, while paper dePCS uses DeepFold artifact Mersenne61Ext/RandomOracle/Merkle; refusing to swap backend or use digest-only Protocol10/11 placeholders",blocked fair-sequential row
depcs-deepfold-paper-protocol11-batch,deepfold,2,paper-network-protocol11-batch,protocol11-batch,2,23,8388608,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,0,false,deepfold-bench-v0.1,blocked,"batch_unavailable_deepfold_artifact_native_batch_api_missing: LigeSIS batch/multi-open requires ark_ff::PrimeField + HasQuadraticExtension, while paper dePCS uses DeepFold artifact Mersenne61Ext/RandomOracle/Merkle; refusing to swap backend or use digest-only Protocol10/11 placeholders",blocked fair-sequential row
depcs-deepfold-paper-protocol11-batch,deepfold,2,paper-network-protocol11-batch,protocol11-batch,2,24,16777216,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,0,false,deepfold-bench-v0.1,blocked,"batch_unavailable_deepfold_artifact_native_batch_api_missing: LigeSIS batch/multi-open requires ark_ff::PrimeField + HasQuadraticExtension, while paper dePCS uses DeepFold artifact Mersenne61Ext/RandomOracle/Merkle; refusing to swap backend or use digest-only Protocol10/11 placeholders",blocked fair-sequential row
depcs-basefold-paper-protocol11-batch,basefold,8,paper-network-protocol11-batch,protocol11-batch,2,18,262144,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,0,false,deepfold-bench-v0.1,blocked,batch_unavailable_basefold_artifact_no_batch_api: BaseFold artifact exposes only single-polynomial prove/verify; refusing to emulate batch with individual worker proofs,blocked fair-sequential row
depcs-basefold-paper-protocol11-batch,basefold,8,paper-network-protocol11-batch,protocol11-batch,2,19,524288,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,0,false,deepfold-bench-v0.1,blocked,batch_unavailable_basefold_artifact_no_batch_api: BaseFold artifact exposes only single-polynomial prove/verify; refusing to emulate batch with individual worker proofs,blocked fair-sequential row
depcs-basefold-paper-protocol11-batch,basefold,8,paper-network-protocol11-batch,protocol11-batch,2,20,1048576,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,0,false,deepfold-bench-v0.1,blocked,batch_unavailable_basefold_artifact_no_batch_api: BaseFold artifact exposes only single-polynomial prove/verify; refusing to emulate batch with individual worker proofs,blocked fair-sequential row
depcs-basefold-paper-protocol11-batch,basefold,8,paper-network-protocol11-batch,protocol11-batch,2,21,2097152,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,0,false,deepfold-bench-v0.1,blocked,batch_unavailable_basefold_artifact_no_batch_api: BaseFold artifact exposes only single-polynomial prove/verify; refusing to emulate batch with individual worker proofs,blocked fair-sequential row
depcs-basefold-paper-protocol11-batch,basefold,8,paper-network-protocol11-batch,protocol11-batch,2,22,4194304,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,0,false,deepfold-bench-v0.1,blocked,batch_unavailable_basefold_artifact_no_batch_api: BaseFold artifact exposes only single-polynomial prove/verify; refusing to emulate batch with individual worker proofs,blocked fair-sequential row
depcs-basefold-paper-protocol11-batch,basefold,8,paper-network-protocol11-batch,protocol11-batch,2,23,8388608,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,0,false,deepfold-bench-v0.1,blocked,batch_unavailable_basefold_artifact_no_batch_api: BaseFold artifact exposes only single-polynomial prove/verify; refusing to emulate batch with individual worker proofs,blocked fair-sequential row
depcs-basefold-paper-protocol11-batch,basefold,8,paper-network-protocol11-batch,protocol11-batch,2,24,16777216,0.0,0.0,0.0,0.0,0.0,,,,not_applicable,,unknown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,query-unified,1,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,0,false,deepfold-bench-v0.1,blocked,batch_unavailable_basefold_artifact_no_batch_api: BaseFold artifact exposes only single-polynomial prove/verify; refusing to emulate batch with individual worker proofs,blocked fair-sequential row
